WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
Assyry,Assyri,᛫ Assyria ᛫,N(P),assyria,OE,,
astir,,᛫ to activate ᛫ to put in motion ᛭ active ᛫ in motion ᛫,AJ,astir&astiren,NE&ME,,
astride,,᛫ with legs on each side ᛭ with legs on each side of ᛫,AV᛭P,~,NE,,
asunder,,᛫ apart ᛫,AV,~,NE,,
asunderhood,,᛫ segregation ᛫ apartheid ᛫,N,asunder+hood,NE×2,calque: apartheid,
asweeve,asƿeefe,᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to appease ᛫ to put to rest ᛫ to soothe ᛫,V,aswēve&aswebban,ME&OE,,
at a braid,bragd,᛫ in a moment ᛫ momentarily ᛫,AV,at a breid,ME,phrase,
at once,ones,᛫ simultaneously ᛫ contemporaniously ᛫ equally ᛫ immediately ᛫ instantly ᛫ summarily ᛫,AV,~,NE,[OED],
at unset steven,stefen,᛫ unexpectedly ᛭ by chance ᛫,AV,at unset steven,ME,rhyme: seven,
atbraidingly,atbragdinglig,᛫ ablative ( grammar ) ᛫,AJ,ætbregdendlīc,OE,from Ælfric's Grammar,
atburst,,᛫ to break away ᛫ to escape ᛫,V,atbresten[ætberstan],ME,brest became burst,
atease,,᛫ to tear ᛫ to tease ( as in to pull apart ) ᛫,V,ātǣsan,OE,kin: tease,
atell,,᛫ number ( grammatical term ) ᛫ a register ᛫ a catalogue ᛫ a catalog ᛭ to register ᛫ to catalog ᛫ to catalogue ᛫,N,ȝetel&getæl/getel,ME&OE,,
atew,ateƿ,᛫ to appear ᛫ to display ᛫ to manifest ᛫,V,atẹ̄wien{ēowan},ME,kin: eye,
atfang,,᛫ to claim lost or stolen property ᛫,V,ætfōn{fang},OE,,
atgo,,᛫ to go away ᛫ to pass away ᛫,V,atgon,ME,,
Athabasca Mere,,᛫ Lake Athabasca ᛫,N(P),Athabasca+mere,NE‹O+NE,,
athel,aðel,᛫ a noble ᛭ noble ᛫,N᛭AJ,aþel,ME,,
athelborn,aðelborn,᛫ nobleborn ᛫ highborn ᛫ patrician ᛫,AJ,aþelborn,ME,,
athelen,aðelen,᛫ to ennoble ᛫,V,æþelian+en,OE+NE,,
atheling,aðeling,᛫ a noble ᛫ a prince ᛫,N,atheling[æþeling],ME,,
athelingen,aðelingen,᛫ a princess ᛫,N,æþeling+en,OE+NE,"a more historically sound term for ""princess"" is simply ""lady""",
athelkind,aðelkind,᛫ of noble kind or origin ᛫,AJ,æþelcund,OE,,
athelly,aðellig,᛫ nobly ᛫ elegantly ᛫,AV,æþellīce,OE,,
athelman,aðelman,᛫ a nobleman ᛫,N,athelman,ME,,
athelness,aðelness,᛫ nobility ᛫,N,æþelnes,OE,,
athelwhite,aðelhƿite,᛫ a Leontopodium alpinum plant ᛫ edelweiss ᛫,N,aþel+white,ME+NE,calque: Edelweiß,
athelwield,aðelƿield,᛫ aristocracy ( the political system ) ᛫,N,athel+wield,NE,,
atithe,atiðe,᛫ to grant ᛫ to allow ᛫,V,itīthien[getigþian],ME,,
atlast,,᛫ finally ᛫ ultimately ᛫,AV,~,NE,,
atle,atel,᛫ terrible ᛫ horrible ᛫ dire ᛫ repulsive ᛫ ugly ᛫ hideous ᛫,AJ,ātel[atol],ME,,
atley,atelig,᛫ hideous ᛫ ugly ᛫,AJ,atelīch[atollīc],ME,,
atone,,᛫ to make amends ᛫,V,~,NE,equal to: at one,
atsake,,᛫ to deny ᛫ to abjure ᛫ to renounce ᛫ to repudiate ᛫ to disavow ᛫ to disown ᛫,V,atsāken[ætsacan],ME,[OED] ᛫ PST: atsook ᛫ PTCP: atsaken,
atsammen,,᛫ together ᛫,AV,atsomne[ætsomne],ME,,
atsit,,᛫ to resist ᛫ to oppose ᛫,V,atsitten,ME,,
atstall,,᛫ a station ᛫ a camp ᛫,N,ætsteall,OE,,
atter,,᛫ poison ᛫ venom ᛫ pus ᛭ to poison ᛫ to envenom ᛫,N,atter&ǣtrian,NE&OE,,
attercop,,᛫ a spider ᛫,N,[āttercoppe/āttorcoppe],NE,kin: cobweb,
attercraft,,᛫ the art of poisoning ᛫ wicked sorcery ᛫,N,ātorcræft,OE,,
atterdeer,,᛫ a poisonous animal a venomous animal ᛫,N,atter+deer,NE×2,,
atterling,,᛫ a malicious person ᛫,N,atterling,ME,,
atterloath,atterloað,᛫ an antidote ᛫,N,atterlothe,ME,,
attern,,᛫ poisonous ᛫ venomous ᛫ cruel ᛫ ill-natured ᛫,AJ,attern,ME,,
attery,atterig,᛫ venomous ᛫ poisonous ᛫,AJ,~,NE,,
Attle,Attel,᛫ Lazio ? ᛫ Italy ? ᛫,N(P),Eatol,OE,kin: Italy,
Attler,Atteler,᛫ a Latin ? ᛫ an Italian ? ᛫,N(P),Eatolware,OE,,
atwain,atƿagn,᛫ in two parts ᛫,AV,~,NE,,
atween,atƿeen,᛫ between ᛫,P,atwēn,ME,,
atwind,atƿind,᛫ to escape ᛫,V,~[atwīnden],NE,PST: atwound ᛫ PTCP: atwound,
atwist,atƿist,᛫ substance ᛫,N,ætwist,OE,,
atwite,atƿite,᛫ to attribute to ᛫ to charge ᛫ to blame ᛫,V,atwīten,ME,,
aught,augt,᛫ property ᛫ possession ᛫,N,aughte[ǣht],ME,,
aught,augt,᛫ anything ᛫,N,~[āht],NE,,
aught,augt,᛫ deliberation ᛫ evaluation ᛫ meditation ᛭ to deliberate ᛫ to evaluate ᛫ to meditate on ᛫,N᛭V,æht&eahtian,OE&OE,,
Australia,,᛫ Australia ᛫,N(P),~,NE,or: New Holland,
avel,afel,᛫ power ᛫ strength ᛫,N,āvel[afol],ME,rhyme: navel ᛫ kin: afl (ON),
aver,afer,᛫ vehement ᛫,AJ,afor,OE,rhyme: waver? ᛫ kin: æfur (Icelandic)?,
awe,aƿe,᛫ admiration tinged with fear ᛭ to inspire awe ᛫,N᛭V,~,NE,,
awesome,aƿesum,᛫ incredible ᛫ awe-inspiring ᛫,AJ,~,NE,,
awful,aƿful,᛫ horrible ᛫,AJ,~,NE,,
awin,aƿin,᛫ strife ᛫ struggle ᛫ war ᛫ conflict ᛫,N,iwin[gewin],ME,,
awk,aƿk,᛫ perverse ᛫ sinister ᛫,AJ,~,NE‹N,,
awn,aƿn,᛫ one of the slender bristles that terminate the glumes of the spikelet in some cereal and other grasses ᛫,N,~,NE‹N,,
awork,aƿork,᛫ a fortress ᛫ a fort ᛫ a castle ᛫,N,geweorc,OE,,
awortwale,aƿurtƿale,᛫ to uproot ᛫ to eradicate ᛫ to exterminate ᛫ to extirpate ᛫,V,āwyrtwalian,OE,,
awrack,aƿrack,᛫ wrecked ᛫ in ruins ᛫,AV,~,NE,[CED],
awry,aƿrie,᛫ contorted ᛫ twisted ᛫ bent ᛫ out of place ᛫ deviant ᛫ perverse ᛫,AJ,~,NE,,
axe,,᛫ an axe ᛫ a hatchet ᛭ to strike with an axe ᛫ to cancel ᛫ to cut down ᛫ to remove something ᛫,N᛭V,~,NE,or: ax,
axle,axel,᛫ an axis ᛫ a shoulder ᛫,N,axle&axel[eaxl],NE&ME,,
axlespan,axelspan,᛫ a crossbar ᛫ a crosspiece ᛫,N,eaxlegespann,OE,,
ay,ag,᛫ eternal ᛭ always ᛫ ever ᛫ continually ᛫,AJ᛭AV,~,NE‹ME‹N,rhyme: day,
ayen,agen,"᛫ re- ( in instances which denote a return to a person , place , state , or condition ) ᛫",PREFIX,ayẹ̄n,ME,example: recall = ayencall,
ayen,agen,᛫ again ᛫ against ᛫ in opposition to ᛫ in return ᛫ in exchange ᛭ in front of ᛫ against ᛫ in opposition to ᛫ as protection against ᛫,AV᛭P,ayẹ̄n[ongēn],ME,,
ayenst,agenst,᛫ back again ᛭ against ᛭ facing ( an event ) ᛫ anticipating ᛫ expecting ᛫ in contrast with ᛫,AV᛭P᛭C,ayẹ̄nes/ayẹ̄nest,ME,"""unetymological -t mid-14c. standard by early 16c."" - Etymonline",
ayet,aget,᛫ to perceive ᛫,V,ayiten[āgitan/ongitan],ME,,
Babilon,,᛫ Babylon ᛫,N(P),Babilōn,OE,,
Babilony,Babiloni,᛫ Babylonia ᛫,N(P),Babilony,ME,,
babish,babisc,᛫ infantile ᛫,AJ,~,NE,[OED],
babyhood,babihood,᛫ infancy ᛫,N,~,NE,,
Babylonish,Babylonisc,᛫ Babylonian ᛫,AJ(P),babilōnisc,OE,,
Babylony,Babyloni,᛫ Babylonia ᛫,N,babylonie,OE,,
back,,᛫ to support ᛫ to sponsor ᛫,V,~,NE,,
backbite,,᛫ to talk maliciously about someone who is not present ᛫,V,~,NE,,
backbone,,᛫ the ridgebone ᛫ the spine ᛫,N,~,NE,,
backen,,᛫ to delay ᛫ to retard ᛫,V,~,NE,,
backer,,᛫ a supporter ᛫ a sponsor ᛫,N,~,NE,,
backfriend,backfreend,᛫ a friend who is secretly an enemy ᛫,N,~,NE,,
backhanded,,᛫ insincere ᛫ sarcastic ᛫,AJ,~,NE,,
backleech,backleec,᛫ a physiatrist ᛫,N,back+leech,NE×2,,
backridgebone,backridgbone,᛫ a thoracic vertebra ᛫,N,back+ridgebone,NE×2,,
backslide,,᛫ to regress ᛫ to lapse morally or in the practice of religion ᛫,V,~,NE,,
backstab,,᛫ to attack someone unfairly in a deceitful and treacherous way ᛫ to betray ᛫,V,~,NE,,
backstabber,,᛫ a traitor ᛫ a betrayer ᛫,N,~,NE,,
backward,backƿard,᛫ retrograde ᛫ socially unsophisticated ᛫ socially barbaric ᛫,AJ,~,NE,,
backwater,backƿater,᛫ a remote place ᛫ water held back by an obstruction ᛭ to vacillate on a long-held position ᛫,N᛭V,~,NE,,
backwoods,backƿoods,᛫ a woody countryside ᛫,N,~,NE,,
badblood,,᛫ feelings of ill will ᛫ a serious feud ᛫ an inherited immoral nature ᛫ a long-standing grudge ᛫,N,~,NE,,
baddle,baddel,᛫ a hermaphrodite ᛫ an intersex person ᛫,N,bæddel,OE,,
badmouth,badmuðe,᛫ to disparage ᛫,V,~,NE,,
badow,badoƿ,᛫ battle ᛫,N,beado/beadu/beadwe,OE,or: bade (like shadow and shade),
bag,bagg,᛫ a sack ᛫,N,~,NE‹N?,,
Baikal Mere,,᛫ Lake Baikal ᛫,N(P),Baikal+mere,NE‹O+NE,,
bake,,᛫ a baked good ᛫ a pie ᛫ pastry ᛭ to calcine ᛫,N᛭V,bāke&bāken,ME&ME,,
baked good,,᛫ a piece of baked food ᛫ a pastry ᛫,N,~,NE,,
bakehouse,bakehuse,᛫ a bakery ᛫,N,~,NE,,
Baker Mere,,᛫ Baker Lake ᛫,N(P),baker+mere,NE×2,,
bakern,,᛫ a bakery ᛫,N,bakern,ME,,
Balaton Mere,,᛫ Balaton Lake ᛫,N(P),Balaton+mere,NE‹O+NE,,
bale,,᛫ great evil ᛫ great woe ᛫ great sorrow ᛫,N,~[bealo],NE,,
balecraft,,᛫ the craft of evil magic ᛫,N,bealocræft,OE,,
baleful,,᛫ pernicious ᛫ forebodingly evil ᛫,AJ,~,NE,,
balk,,᛫ a ridge ᛫ a mound ᛫ an archery butt ᛫ a ridge left between furrows accidently ᛫ a blunder ᛫,N,balk[balca],ME,,
balk,,᛫ a hindrance ᛫ a check ᛫ a failure ᛭ to pass over ᛫ omit ᛫ to suddenly refuse ᛫,N᛭V,~,NE,,
Balkash Mere,Balkasc,᛫ Lake Balkhash ᛫,N(P),Balkhash+mere,NE‹O+NE,,
baller,,᛫ a player of a ball game ( esp a basketball player ) ᛫ a wealthy and successful person who lives lavishly ᛫,N,~,NE,[MW],
ballock,,᛫ a testicle ᛫,N,~,NE,or: bollock,
ballocks,,᛫ testicles ᛫ nonsense ᛫,N,~,NE,or: bollocks,
Balt,,᛫ a speaker of a Baltic language ᛫ a Lithuanian ᛫ a Latvian ᛫,N(P),~,NE‹O,,
Baltland,,᛫ the Baltic states ᛫ the Baltic land region ᛫,N(P),Balt+land,NE‹O+NE,,
ban,,᛫ a proclamation ᛫ an edict ᛫ a decree ᛫ an ordinance ᛭ to summon ᛫ to assemble people [ᛏ] ᛫ to muster [ᛏ] ᛫ to rally [ᛏ] ᛫,N᛭V,ban&bannen,ME&ME,prohibit/prohibition meaning from French and/or Norse,
bandog,bandogg,᛫ a mastiff ᛫,N,~,NE‹(N+E),band-dog,
bane,,᛫ death ᛫ destruction ᛫ poison ᛫ a cause of misery ᛫ a murderer ᛫ a killer ᛫ a slayer ᛫,N,~[bana],NE,,
baneful,,᛫ harmful ᛫ destructive ᛫ deadly ᛫ malignant ᛫ poisonous ᛫ venomous ᛫,AJ,~,NE,,
banewort,baneƿurt,᛫ an Atropa belladonna plant ( deadly nightshade ) ᛫,N,~,NE,,
bangle,bangel,᛫ to fritter away ᛫ to squander ᛫ to waste ᛫,V,~,ANE,"often used with ""away"" like ""bangle away""",
bank,,᛫ an edge of a river lake or watercourse ᛫ an embankment ᛫,N,~,NE,,
bare,,᛫ unclothed ᛫ devoid of ᛫ basic and simple ᛫,AJ,~,NE,,
barley moon,barlig,᛫ a full moon in August ᛫,N,~,NE,[CED],
barling,,᛫ a pole ᛫ a beam ᛫ a rafter ᛫ a bar ᛫,N,berling,ME‹N,kin: berlings-āss (Icelandic),
barm,,᛫ a bosom ᛫ a lap ᛫ one's possession ᛫,N,barm,ME,,
barm,,᛫ beer froth ᛫ yeast ᛫ leaven ᛫ beer head ( the froth from pouring beer ) ᛫,N,barm&berm[beorma],NE&ME,,
barmcloth,barmcloð,᛫ an apron ᛫,N,~,NE,,
barn,,᛫ a child ᛫ a kid ᛫,N,barn[bearn],ME,"found in Scots as ""bairn""",
barneken,,᛫ pregnant ᛫,AJ,bearnēacen,OE,,
Barnick,,᛫ the Bernicians ᛫,N(P),Beornice,OE‹C?,,
Barnickrich,Bernickric,᛫ the Kingdom of Bernicia ᛫,N(P),Beornice Rīce,OE‹C?+OE‹C,,
barnteam,,᛫ offspring ᛫ lineage ᛫,N,barntem,ME,,
barrow,barroƿ,᛫ a mountain ᛫ a hill ᛫ a mound ᛫,N,~[beorg],NE,,
barrowlee,barroƿlee,᛫ a Puma concolor animal ᛫ a cougar ᛫ a puma ᛫ a mountain lion ᛫ a catamount ᛫ a panther ᛫,N,barrow+lēo,NE+OE‹I,calque: mountain lion,
barrowmouse,barroƿmuse,᛫ a marmot ᛫,N,barrow+mouse,NE×2,calque: mountain-mouse,
barrowroose,barroƿroos,᛫ a rhododendron ᛫,N,barrow+roose ,NE+ENE,calque: mountain rose,
barton,,᛫ a farmyard ᛫,N,~,NE,equal to: barley town?,
Baskon,,᛫ a Basque person ᛫,N(P),Baskọ̄n,ME‹I,Basque is a reborrowing?,
Baskonland,,᛫ Basque Country ᛫,N(P),Baskọ̄n+land,ME+NE,calque: Baskenland,
bass,,᛫ a perch fish ᛫,N,~[bas][bærs],NE,,
bast,,᛫ phloem ᛫ bast fiber ᛫ fiber ᛫ fibre ᛫,N,~,NE,,
bat,,᛫ a mace ᛫ a club ᛫ a cudgel ᛫ a bludgeon ᛫,N,bat&bat[batt],NE&ME,,
batch,bac,᛫ a group of like things ( esp baked goods ) ᛭ to group like things ᛫ to sort ᛫,N᛭V,~,NE,kin: bake,
batch,bac,᛫ a stream ? ᛫ a brook ? ᛫ a valley ? ᛫,N,bach,ME,,
bate,,᛫ to get better ᛫ to recover ᛫,V,batian,OE,,
baxter,,᛫ a baker ᛫,N,baxter[bæcestre],ME,,
Bayer,Bager,᛫ a Bavarian ᛫,N(P),Bægerum,OE,,
Bayerland,Bagerland,᛫ Bavaria ᛫,N(P),Bægerum+land,OE+NE,,
baze,base,᛫ crimson ᛫ scarlet ᛫ a monarchist ᛭ of crimson hue ᛫ of scarlet hue ᛫,N᛭AJ,basu/baso,OE,rhyme: gaze,[colour]
bazestone,basestone,᛫ topaz ᛫,N,baswa stān,OE,rhyme: gaze tone ᛫ or: bazestone,
be,,᛫ to exist ᛫,V,~,NE,,
beacon,,᛫ a signal ᛫ an indication ᛭ to signal ᛫ to indicate ᛫,N᛭V,beacon&bēacnian,NE&OE,,
beaconer,,᛫ a signaller ᛫ an indicator ᛫,N,~,NE,,
bead,,᛫ a prayer ᛫ a request ᛫,N,~[gebed],NE,,
beadframe,,᛫ an abacus ᛫,N,bead-frame,NE,,
beadful,,᛫ prayerful ᛫,AJ,beodeful,ME,[OED],
beadle,beadel,᛫ prayerful ᛫ suppliant ᛫,AJ,bēdul,OE,,
beam,,᛫ a long straight piece of timber ᛫ a tree ᛫ a ray ( of light etc ) ᛫,N,beam&bēm&bēam,NE&ME&OE,,
beamish,beamisc,᛫ beaming with happy optimism ᛫,AJ,~,NE,,
bean curd,,᛫ tofu ᛫,N,~,NE,,
bear,,᛫ to carry ᛫ to endure ᛫ to give birth to ᛫,V,~,NE,PST: bore ᛫ PTCP: borne,
bearcat,,᛫ a binturong ᛫,N,~,NE,,
beardtongue,beardtung,᛫ a Penstemon plant ᛫,N,~,NE,[OED],
bearen,,᛫ a she-bear ᛫,N,biren,OE,,
bearer,,᛫ a carrier ᛫ a bearer ᛫ a porter ᛫,N,berend,OE,,
bearing,,᛫ relevance ᛫ posture ᛫ demeanour ᛫,N,~{gebǣru},NE,,
bearings,,᛫ a direction or a relative position ᛫,N,~,NE,,
bearly,bearlig,᛫ ursine ᛫,AJ,~,NE,,
bearsear,,᛫ a Primula auricula plant ( auricula ) ᛫,N,bear's-ear,NE,[OED],
bearwort,bearƿurt,"᛫ a Meum athamanticum plant ( spignel , meum , baldmoney ) ᛫",N,~,NE,[OED],
beat,,᛫ rhythm ᛫ a unit of rhythm ᛫,N,~,NE,,
beat,,᛫ to curb ᛫ to rein in ᛫ to restrain ᛫ to keep in check ᛫,V,bǣtan,OE,,
beath,beað,᛫ to foment ᛫ to heat ( esp unseasoned wood in order to straighten it ) ᛫,V,~[bēthen][beþian],ANE,[CED],
beaver moon,beafer,᛫ a full moon in November ᛫,N,~,NE,[CED],
bebathe,bebaðe,᛫ to suffuse ᛫,V,~,NE,,
bebid,,᛫ to command ᛫,V,bebēodan,OE,,
becall,,᛫ to accuse ᛫,V,becall&bicallen,NE&ME,,
beck,,᛫ a commanding or summoning motion ᛫,N,~,NE,,
beck,,᛫ a brook ᛫ a small stream ᛫ a rivulet ᛫,N,~,NE‹ME‹N,,
beckon,,᛫ to invite ᛫ to invite over ᛫ to summon ᛫ to gesture someone for their presence ᛫,V,~,NE,,
beckoningly,beckoninglig,᛫ indicative ( grammar ) ᛫,AJ,gebīcnigendlīc,OE,from Ælfric's Grammar,
beclepe,,᛫ to accuse ᛫ to charge against ᛫ to plead or appeal in court ᛫ to apply a term to ᛫,V,beclepen,ME,PST: beclept,
beclip,,᛫ to surround ᛫ to encircle ᛫ to embrace ᛫ to clasp ᛫ to enclose ᛫ to contain ᛫ to envelope ᛫,V,biclippen,ME,,
becloud,beclude,᛫ to make obscure or muddled ᛫,V,~,NE,,
becoming,becumming,᛫ looking good on someone ᛫ decorous ᛫ appropriate ᛫,AJ,~,NE,,
bedder,,᛫ a bed fellow ᛫,N,gebedda,OE,,
bedeal,,᛫ to remove from ᛫ to release from ᛫ to deprive of ᛫,V,bedǣlan,OE,,
bedelve,bedelf,᛫ to inter ᛫,V,bidelven,ME,,
bedesman,,᛫ one who prays for another ᛫ a petitioner ᛫,N,~,NE,,
bedfellow,bedfelloƿ,᛫ a consort ᛫,N,~,NE‹(E+N),,
bedight,bedigt,᛫ to equip ᛫,V,~,NE,,
bedip,,᛫ to submerge ᛫,V,bedipan,OE,,
bedizen,bedisen,᛫ to dress ( often in a vulgar or gaudy way ) [ᛏ] ᛫,V,~,NE,rhyme: risen; horizon,
bedoven,bedofen,᛫ drenched ᛫ submerged ᛫,AJ,~[bedōven][bedofen],NE,,
bedrock,,᛫ a substratum ᛫,N,~,NE,,
bedsit,,᛫ a one-room apartment serving as both bedroom and living room ᛫,N,~,NE,or: bedsitter,
bedwell,bedƿell,᛫ to dwell in ᛫ to inhabit ᛫,V,~,NE,[MW],
bee,,᛫ a bracelet ᛫ a torque ᛫ an arm ring ᛫ an armlet ᛫ a finger ring ᛫ a collar ᛫ a necklace ᛫ a nose ring ᛫,N,bee&bei[beah],NE&ME,,
bee,,᛫ a social event ᛫ a gathering for a common purpose ᛫,N,~,NE,,
beebread,,᛫ pollen ᛫ ambrosia ᛫,N,~,NE,,
beechurl,beecerl,᛫ a beekeeper of the churl class ᛫,N,bēoceorl,OE,,
beechwheat,beechƿeat,᛫ buckwheat ᛫,N,~,NE,"[OED] ᛫ ""buckwheat"" is probably from Dutch.",
beed,,᛫ a table ᛫,N,bēode[bēod],ME,,
beedland,,᛫ a tableland ᛫ a plateau ᛫,N,bēode,ME+NE,calque: tableland,
beehouse,beehuse,᛫ an apiary ᛫,N,~,NE,,
beek,,᛫ to charter ᛫ to grant by book or by charter ᛫,V,gebēcan,OE,,
beekeeper,,᛫ an apiarist ᛫,N,~,NE,,
beely,beelig,᛫ apian ᛫,AJ,~,NE,,
beem,,᛫ a trumpet ᛭ to sound with a trumpet ᛫,N᛭V,bēme,ME,,
beerlore,,᛫ brewology ᛫,N,beerlore,NE,,
beership,beerscip,᛫ a banquet with beer ᛫ convivium ᛫,N,gebēorscipe,OE,,
beestings,,᛫ a colostrum ( esp of a cow ) ᛫,N,~[bẹ̄sting][bȳsting],NE,[CED],
beet,,᛫ a boast threat or pledge to do a glorious deed ᛫,N,beot[bēot],ME,,
beet,,᛫ to repair ᛫ to mend ᛫ to revive ᛫ to restore ᛫ to fix ᛫ to correct ᛫ to amend ᛫,V,beet&bēten[bētan],NE&ME,kin: boot,
beetle,beetel,᛫ to project ᛫ to overhang ᛫,V,~,ANE,[OED],
beetle,beetel,᛫ a mallet ᛫ mallet carried on a plow for breaking large clods ᛫ a mace ᛫,N,bẹ̄tel,ME,,
befall,,᛫ to happen ᛫ to happen to someone ᛫,V,~,NE,PST: befell ᛫ PTCP: befallen,
befalling,,᛫ a happening ᛫ an occurrence ᛫ an event ᛫ an instance of something ᛫,N,befalling&bifallinge,NE&ME,,
befasten,,᛫ to fasten ᛫ to entrust ᛫,V,befæstan,OE,,
befile,,᛫ to defile ᛫ to vandalize ᛫ to deflower ᛫,V,~[befȳlan],NE,kin: befoul,
befoe,,᛫ to become a foe of ᛫ to make a foe of someone ᛫,V,~,NE,,
beforehand,,᛫ in advance ᛫,AV,~,NE,,
befoul,befule,᛫ to make foul or dirty ᛫ to pollute ᛫,V,~,NE,kin: befile,
begale,,᛫ to enchant ᛫ to charm ᛫,V,bigālen[begalan],ME,,
begang,,᛫ a course ᛫ a passage ᛭ to commit ᛫ to practise a behaviour ᛫,N᛭V,begang&begangan,OE,,
beget,,᛫ to produce ᛫ to create ᛫ to cause ᛫ to sire ᛫ to generate ᛫ to engender ᛫ to conceive ᛫,V,~,NE,PST: begot/begat ᛫ PTCP: begotten,
beget,,᛫ to beget ᛫,V,beyeten,ME,PST: begat ᛫ PTCP: begotten,
begetter,,᛫ a procreator ᛫,N,~,NE,,
begetting,,᛫ conception ᛫,N,~[biyetinge],NE,,
beghast,begast,᛫ to inspire ᛫ to amaze ᛫ to shock ᛫ to awe ᛫,V,~,NE,,
bego,,᛫ to cover ᛫ to ornament ᛫ to overtake ᛫,V,bigōn[begān],ME,found in: woebegone,
begod,,᛫ to deify ᛫,V,~,NE,,
begone,,᛫ avaunt! ᛫,I,~,NE,,
begreed,,᛫ to blame ᛫ to charge ( with a crime ) ᛫ to accuse ( of a crime ) ᛫,V,begrēden[grǣdan],ME,,
begripe,,᛫ to grip ᛫ to seize ᛫ to rebuke ᛫ to reprehend ᛫,V,bigrīpen,ME,,
begriprown,begriprune,᛫ a logographic rune ᛫,N,be+grip+rown,NE×3,calque: Begriffsrune,
behalf,,᛫ the interests of a person group or principle ᛫ a representative of ᛫ one's stead ᛫,N,~,NE,,
behaving,behafing,᛫ behavior ᛫ behaviour ᛫,N,~,NE,,
behead,,᛫ to decapitate ᛫,V,~,NE,,
beheart,,᛫ to enamour ᛫ ravish ᛫,V,~,NE,,
Beheem,,᛫ a Bohemian ᛫,N(P),behēmas{bēme},OE,,
Beheemland,,᛫ Bohemia ᛫,N(P),behēmas+land,OE+NE,,
beheeve,beheefe,᛫ beneficial ᛫,AJ,bihēve,ME,,
behest,,᛫ an order ᛫ a command ᛫,N,~,NE,,
behight,behigt,᛫ to vow ᛫ to promise ᛫,V,behight&beheten,NE&ME,,
behirn,,᛫ to put in a corner ᛫ to store away ᛫,V,bihirnen,ME,,
behither,behiðer,᛫ on this side of ᛫,P,~,NE,,
behold,,᛫ to see ( something ) ᛫ to observe ᛫,V,~,NE,,
beholden,,᛫ owing obedience or a favour to something or someone ᛫,AJ,~,NE,,
beholder,,᛫ an observer ᛫,N,~,NE,,
behoof,,᛫ advantage ᛫ benefit ᛫,N,~,NE,,
behoove,behoof,᛫ to benefit [ᛏ] ᛫ to suit [ᛏ] ᛫ to be proper for [ᛏ] ᛫,V,~,NE,,
behooveful,behooful,᛫ expedient ᛫ beneficial ᛫ advantageous ᛫ profitable ᛫ suitable ᛫ proper ᛫ requisite ᛫,AJ,behoveful&bihọ̄veful ,NE&ME,,
behoovely,behooflig,᛫ expedient ᛫ beneficial ᛫ advantageous ᛫ profitable ᛫ suitable ᛫ proper ᛫ requisite ᛭ advantageously ᛫ profitably ᛫,AJ᛭AV,~,NE,,
behote,,᛫ a promise ᛫ a pledge ᛭ to promise ᛫ to pledge ᛫,N᛭V,bihōt&bihōten,ME&ME,,
being,,᛫ existence ᛫ the nature of a being ᛫ an existing thing ᛫ essential nature ᛫ essence ᛫,N,being&bẹ̄ing,NE&ME,,
beingless,,᛫ non-existent ᛫,AJ,~,NE,,
beknow,beknoƿ,᛫ to know ᛫ to realize ᛫ to recognize ᛫ to acknowledge something as true ᛫,V,biknouen,ME,,
belap,,᛫ to surround ᛫ to envelop ᛫,V,~,NE,,
belatch,belac,᛫ to catch ( like in a trap ) ᛫,V,belacchen,ME,,
belate,,᛫ to retard ᛫ to slow ᛫ to slow down ᛫,V,~,NE,[CED],
belated,,᛫ late ᛫ overdue ᛫,AJ,~,NE,,
belay,belag,᛫ to stop ᛫ to cancel (nautical) ᛫,V,~,NE,,
belew,beleƿ,᛫ to betray ᛫,V,belǣwan,OE,kin: 𐌻𐌴𐍅𐌾𐌰𐌽,
Belgia,,᛫ Belgium ᛫,N(P),België,NL,[g] or maybe even [j] but not [dʒ],
belide,,᛫ to cover ᛫,V,behlīdan,OE,kin: lid?,
belie,,᛫ to misrepresent ᛫ to give a false impression of ᛫,V,~,NE,,
belight,beligt,᛫ to illuminate ᛫,V,~,NE,,
belirt,,᛫ to deceive ᛫ to beguile ᛫ to delude ᛫ to defraud ᛫ to cozen ᛫,V,bilirten,ME,,
belittle,belittel,᛫ to denigrate ᛫ to disparage ᛫,V,~,NE,,
belive,belife,᛫ to stay ᛫ to remain ᛫,V,bilīven,ME,rhyme: drive,
bell,,᛫ a bellow ᛭ to bellow ( generally used for stag during rutting time ) ᛫,N᛭V,~,NE,,
bellglass,,᛫ a cloche ᛫,N,bell-glass,NE,[OED],
bellhouse,bellhuse,᛫ a belfry ᛫,N,~,NE,,
bellyache,belligake,᛫ to grumble ᛫,V,~,NE,,
beload,,᛫ to exculpate ᛫ to absolve ᛫ to acquit ᛫ to pardon ᛫,V,belādian,OE,,
beltsaw,beltsaƿ,᛫ a bandsaw ᛫,N,belt saw,NE,[OED],
bemean,,᛫ to demean ᛫ to debase ᛫ to degrade ᛫,V,~,NE,[MW],
bemete,,᛫ to compare ᛫,V,bemetan,OE,,
bemiddle,bemiddel,᛫ to mediate ᛫,V,be+middle,NE×2,calque: bemiddelje,
bemiddling,bemiddeling,᛫ mediation ᛫,N,be+middle+ing,NE×3,calque: bemiddelje,
